iter	MultiClass
0	1.493817554
1	1.409280934
2	1.34925255
3	1.30340652
4	1.266934289
5	1.236106219
6	1.211439507
7	1.190703122
8	1.173095911
9	1.157325355
10	1.143989962
11	1.13296114
12	1.123398185
13	1.114259805
14	1.106632922
15	1.099721752
16	1.093869448
17	1.088462886
18	1.083944137
19	1.079413627
20	1.075120422
21	1.07169842
22	1.067484021
23	1.064281069
24	1.061092844
25	1.058017135
26	1.055270514
27	1.052854887
28	1.050332984
29	1.048122997
30	1.045715766
31	1.043610575
32	1.041412305
33	1.039007616
34	1.037071563
35	1.035256708
36	1.033616091
37	1.031828855
38	1.029807664
39	1.028141408
40	1.026630274
41	1.024828049
42	1.023099634
43	1.021592795
44	1.020083109
45	1.018707393
46	1.017493157
47	1.015734521
48	1.014704143
49	1.013273347
50	1.011940371
51	1.010599068
52	1.009126064
53	1.008002642
54	1.006665542
55	1.00546081
56	1.003956597
57	1.002893494
58	1.001699462
59	1.000671233
60	0.9995210895
61	0.9983224346
62	0.9973242671
63	0.9963400668
64	0.9952107671
65	0.9940324049
66	0.9931124409
67	0.9920077023
68	0.9909875908
69	0.9898298854
70	0.9887502358
71	0.9876740065
72	0.9868231269
73	0.9859279038
74	0.9851624267
75	0.9842640473
76	0.9831760689
77	0.9821649499
78	0.9810158851
79	0.9803594897
80	0.979471444
81	0.9786299145
82	0.9779381079
83	0.9768403071
84	0.9758843571
85	0.9749436168
86	0.9741071419
87	0.9732886074
88	0.972369809
89	0.9716301431
90	0.9706677114
91	0.9697832315
92	0.9688941111
93	0.9681744959
94	0.9673310478
95	0.9667826661
96	0.9661321621
97	0.9652737816
98	0.9646028177
99	0.9640527395
100	0.9632771918
101	0.9623070723
102	0.9615179792
103	0.9607673401
104	0.9598315889
105	0.959161493
106	0.9585332289
107	0.9577900546
108	0.9570430041
109	0.9562037833
110	0.955413781
111	0.9544974358
112	0.9536357888
113	0.9528659689
114	0.9521440865
115	0.9513039165
116	0.9505977428
117	0.9499202246
118	0.9490784816
119	0.9482999227
120	0.9475538223
121	0.9467568997
122	0.9460998252
123	0.9452793255
124	0.9445484845
125	0.9436961068
126	0.9428237051
127	0.9418844541
128	0.9410688942
129	0.9404507205
130	0.939730795
131	0.9390610682
132	0.938337173
133	0.9376085088
134	0.9369641628
135	0.9362078843
136	0.9357324446
137	0.9350282942
138	0.9343447172
139	0.933686865
140	0.9331326253
141	0.9326229194
142	0.9320092142
143	0.9314306205
144	0.9307884084
145	0.9302520359
146	0.9296937356
147	0.9290240107
148	0.9283060689
149	0.9276721069
150	0.9271651812
151	0.9265896808
152	0.9260791412
153	0.9254944772
154	0.9248510718
155	0.9241410312
156	0.9233980762
157	0.9227735314
158	0.9221554152
159	0.9217003959
160	0.9209658094
161	0.9205464282
162	0.9199020075
163	0.9193425909
164	0.9188236553
165	0.918379805
166	0.9179478211
167	0.9173799323
168	0.9167827578
169	0.916125616
170	0.9155166097
171	0.9150462208
172	0.9145103429
173	0.9140053033
174	0.9133141758
175	0.9128110563
176	0.9124241353
177	0.9119486111
178	0.9114607432
179	0.9108795095
180	0.910180043
181	0.9096433554
182	0.9090900934
183	0.9084890289
184	0.907954278
185	0.9075209445
186	0.9069174104
187	0.9064602852
188	0.9059862086
189	0.9054048667
190	0.904863167
191	0.9045231173
192	0.9039194341
193	0.9032904587
194	0.9028126628
195	0.9023261516
196	0.901810214
197	0.9013571255
198	0.9009103572
199	0.9003611863
200	0.899859906
201	0.8993898984
202	0.8989654715
203	0.8985554716
204	0.8979268229
205	0.8975485289
206	0.8970855244
207	0.896608318
208	0.8960687576
209	0.8955706368
210	0.8949861498
211	0.8945708782
212	0.8942823067
213	0.893708589
214	0.893350511
215	0.8929328661
216	0.8924667044
217	0.8920092612
218	0.8917072912
219	0.8912741824
220	0.8908063616
221	0.8904241755
222	0.8901609144
223	0.8897763004
224	0.8893077514
225	0.8888408396
226	0.8884564783
227	0.8879708466
228	0.8876317944
229	0.8871379259
230	0.8866138354
231	0.8861518678
232	0.8857032627
233	0.8852258583
234	0.8847749909
235	0.884348939
236	0.8838377985
237	0.8834819921
238	0.8830631534
239	0.8827105169
240	0.8823542654
241	0.8818517581
242	0.8814597688
243	0.8810553644
244	0.8806981471
245	0.8802989697
246	0.8798854484
247	0.8793756122
248	0.8789841662
249	0.8786701968
250	0.8783214742
251	0.8778711916
252	0.877423936
253	0.8770969638
254	0.8765534891
255	0.8760675817
256	0.8756807807
257	0.8753113515
258	0.8747743821
259	0.8742803348
260	0.8738688199
261	0.8733715645
262	0.8729776343
263	0.8725233624
264	0.8720584636
265	0.8715495517
266	0.8711895972
267	0.8708077221
268	0.8703916075
269	0.8699710297
270	0.8695882326
271	0.8693453693
272	0.8690506511
273	0.8687241137
274	0.8683887448
275	0.8679686503
276	0.8676730873
277	0.8673303673
278	0.8670386366
279	0.8667163056
280	0.8662945207
281	0.8657930963
