iter	Passed	Remaining
0	120	120581
1	235	117307
2	350	116529
3	466	116065
4	593	118145
5	705	116945
6	822	116711
7	949	117684
8	1075	118424
9	1192	118057
10	1316	118326
11	1435	118180
12	1542	117130
13	1653	116429
14	1775	116574
15	1894	116535
16	2017	116685
17	2136	116572
18	2246	115989
19	2358	115590
20	2476	115464
21	2586	114980
22	2703	114848
23	2816	114519
24	2931	114313
25	3057	114523
26	3171	114297
27	3281	113921
28	3397	113749
29	3508	113427
30	3622	113235
31	3733	112940
32	3843	112640
33	3950	112245
34	4061	111980
35	4187	112137
36	4292	111726
37	4402	111454
38	4502	110953
39	4618	110846
40	4721	110433
41	4847	110576
42	4972	110657
43	5081	110399
44	5183	110002
45	5279	109486
46	5374	108969
47	5480	108697
48	5572	108157
49	5673	107795
50	5783	107620
51	5887	107340
52	5992	107078
53	6097	106818
54	6195	106446
55	6298	106170
56	6410	106052
57	6506	105676
58	6608	105399
59	6714	105193
60	6814	104902
61	6919	104685
62	7022	104438
63	7120	104135
64	7226	103953
65	7328	103714
66	7417	103294
67	7525	103149
68	7635	103018
69	7743	102875
70	7848	102687
71	7948	102452
72	8041	102113
73	8135	101806
74	8223	101425
75	8326	101238
76	8429	101040
77	8532	100854
78	8636	100684
79	8732	100423
80	8825	100127
81	8929	99965
82	9036	99837
83	9142	99701
84	9237	99443
85	9336	99228
86	9432	98983
87	9517	98640
88	9627	98548
89	9713	98211
90	9807	97969
91	9912	97831
92	10021	97738
93	10121	97555
94	10205	97217
95	10280	96810
96	10360	96447
97	10454	96226
98	10540	95929
99	10619	95579
100	10706	95296
101	10814	95209
102	10923	95127
103	11026	94994
104	11130	94870
105	11217	94604
106	11310	94395
107	11408	94222
108	11500	94010
109	11591	93784
110	11691	93638
111	11792	93499
112	11894	93363
113	11993	93212
114	12090	93041
115	12195	92939
116	12280	92683
117	12366	92431
118	12471	92333
119	12569	92176
120	12667	92019
121	12767	91885
122	12845	91588
123	12941	91427
124	13040	91286
125	13140	91151
126	13249	91077
127	13355	90987
128	13455	90850
129	13555	90719
130	13642	90501
131	13721	90226
132	13823	90109
133	13920	89961
134	14011	89779
135	14103	89600
136	14188	89374
137	14288	89248
138	14372	89025
139	14464	88853
140	14545	88615
141	14631	88405
142	14716	88195
143	14803	87996
144	14903	87879
145	14992	87698
146	15084	87530
147	15193	87466
148	15300	87384
149	15393	87232
150	15474	87007
151	15564	86834
152	15656	86674
153	15750	86523
154	15846	86390
155	15950	86294
156	16057	86218
157	16152	86078
158	16238	85891
159	16329	85730
160	16431	85627
161	16514	85424
